1862,11,17,Monday,DWR_1862_11-14.jpg
NAIRN,30.38,28,999,999
ABERDEEN,30.43,33,2,0
LEITH,30.47,38,2,0
BERWICK,30.52,37,2,0
ARDROSSAN,30.46,37,2,0.32
PORTRUSH,?30.23,37,4,0
GALWAY,30.5,37,2,0.06
VALENTIA,30.52,40,1,0
QUEENSTOWN,30.52,39,1,0.36
HOLYHEAD,30.48,34,2,0
LIVERPOOL,30.5,38,2,0.01
PEMBROKE,30.51,38,1,0
PENZANCE,30.49,42,1,0
PLYMOUTH,30.46,39,2,0
JERSEY,30.39,46,3,0.1
WEYMOUTH,30.44,37,2,0.06
PORTSMOUTH,30.38,39,3,0
DOVER,30.29,999,999,0
LONDON,30.38,41,2,0.01
YARMOUTH,30.38,45,1,0
SCARBOROUGH,30.43,41,2,0
SHIELDS,30.46,33,2,0
HELIGOLAND,30.21,42,1,0
HELDER,30.24,46,999,0
COPENHAGEN,30.21,36,999,0
BREST,30.4,44,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,46,999,0
LISBON,30.14,50,999,0
