1862,2,10,Monday,DWR_1862_02-8.jpg
NAIRN,30.4,?36,35,999
ABERDEEN,30.39,31,999,999
LEITH,30.57,34,32,999
BERWICK,30.45,34,32,999
ARDROSSAN,30.53,36,34,999
PORTRUSH,30.55,28,999,999
GALWAY,30.6,37,36,999
SHIELDS,30.48,31,999,999
SCARBOROUGH,30.5,31,999,999
HELIGOLAND,30.37,35,34,999
LIVERPOOL,30.59,34,33,999
QUEENSTOWN,30.62,?42,41,999
VALENTIA,?30.61,42,41,999
YARMOUTH,30.54,34,33,999
LONDON,30.57,34,33,999
DOVER,30.52,35,34,999
PORTSMOUTH,30.53,35,34,999
PORTLAND,30.59,36,33,999
PLYMOUTH,30.59,32,30,999
PENZANCE,30.64,33,32,999
COPENHAGEN,30.26,27,999,999
HELDER,30.46,36,999,999
BREST,30.52,39,999,999
BAYONNE,30.36,27,999,999
LISBON,30.35,37,999,999
