1862,1,2,Thursday,DWR_1862_01-1.jpg
NAIRN,999,999,999,999
ABERDEEN,30.43,39,38,999
LEITH,30.45,40,39,999
BERWICK,30.35,39,38,999
ARDROSSAN,30.47,39,38,999
PORTRUSH,30.5,44,43,999
SHIELDS,30.46,40,39,999
GALWAY,30.57,33,32,999
SCARBOROUGH,30.45,40,39,999
LIVERPOOL,30.49,39,38,0.02
VALENTIA,30.52,39,38,999
QUEENSTOWN,30.48,44,43,999
YARMOUTH,30.45,37,36,999
LONDON,30.44,37,36,999
DOVER,30.37,31,999,999
PORTSMOUTH,30.45,38,37,999
PORTLAND,30.44,40,39,999
PLYMOUTH,30.41,39,38,999
PENZANCE,30.45,41,39,999
COPENHAGEN,30.12,27,999,999
HELDER,30.38,38,999,999
BREST,30.31,37,999,999
BAYONNE,30.09,46,999,999
LISBON,29.87,47,999,999
