1862,11,21,Friday,DWR_1862_11-18.jpg
NAIRN,30.34,38,1,0.17
ABERDEEN,30.31,41,1,0.25
LEITH,30.3,42,2,0
BERWICK,30.31,42,2,0
ARDROSSAN,30.29,39,1,0
PORTRUSH,999,36,4,0
GALWAY,30.33,31,1,0
VALENTIA,30.31,37,999,0
QUEENSTOWN,30.3,40,1,0
HOLYHEAD,30.27,43,2,0
LIVERPOOL,30.28,40,2,0
PEMBROKE,30.27,38,1,0
PENZANCE,30.23,40,1,0
PLYMOUTH,30.22,40,1,0
JERSEY,30.16,39,999,0
WEYMOUTH,30.21,39,1,0
PORTSMOUTH,30.19,41,2,0
DOVER,30.18,39,2,0
LONDON,30.2,40,1,0
YARMOUTH,30.21,41,1,0.48
SCARBOROUGH,30.24,43,2,0.18
SHIELDS,30.28,43,2,0
HELIGOLAND,30.2,32,2,0
HELDER,30.23,34,999,0
COPENHAGEN,30.29,42,999,0
BREST,999,999,999,999
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,46,999,0
LISBON,30.12,53,999,0
