1862,12,22,Monday,DWR_1862_12-20.jpg
NAIRN,30.1,42,2,0
ABERDEEN,30.07,40,1,0.25
LEITH,30.16,40,3,0
BERWICK,30.17,39,2,0
ARDROSSAN,30.18,41,2,0
PORTRUSH,999,999,999,999
GALWAY,999,999,999,999
VALENTIA,30.45,47,1,0.16
QUEENSTOWN,30.4,43,2,0
HOLYHEAD,30.28,42,2,0
LIVERPOOL,30.27,39,1,0
PEMBROKE,30.32,40,3,0.35
PENZANCE,30.32,43,1,0.35
PLYMOUTH,30.27,37,2,0
JERSEY,30.19,42,3,0.09
WEYMOUTH,30.24,37,3,0.06
PORTSMOUTH,30.17,37,3,0
DOVER,30.09,39,2,0.33
LONDON,30.13,39,2,0.03
YARMOUTH,30.09,40,1,0.8
SCARBOROUGH,30.15,39,1,0.86
SHIELDS,30.2,37,3,0
HELIGOLAND,29.94,35,1,0
HELDER,30.01,38,999,0
COPENHAGEN,999,999,999,999
BREST,30.28,41,4,2.52
LORIENT,30.08,41,4,0.2
ROCHEFORT,30.06,39,4,0.04
BAYONNE,999,40,999,0
LISBON,999,999,999,999
