1862,12,31,Wednesday,DWR_1862_12-27.jpg
NAIRN,29.77,39,2,0
ABERDEEN,29.81,40,3,0.1
LEITH,29.89,42,3,0
ARDROSSAN,29.97,45,3,0.12
PORTRUSH,999,44,0,0
GALWAY,30.06,48,0,0.1
VALENTIA,30.14,46,2,0.08
QUEENSTOWN,30.15,41,1,0
HOLYHEAD,30.06,44,2,0
LIVERPOOL,30.08,43,1,0.06
PEMBROKE,30.18,42,1,0
PENZANCE,30.24,43,2,0
PLYMOUTH,30.19,40,2,0
WEYMOUTH,30.19,40,2,0
PORTSMOUTH,30.12,41,2,0.07
KEW,999,999,999,999
LONDON,30.1,39,2,0.01
YARMOUTH,30.01,37,1,0
COPENHAGEN,29.58,38,999,0
HELDER,29.9,43,999,0
HELIGOLAND,29.71,41,0,0
SCARBOROUGH,29.95,39,2,0.15
SHIELDS,30,40,4,0
BREST,30.31,43,2,0.32
JERSEY,30.22,44,3,0.07
LORIENT,30.2,41,2,0
ROCHEFORT,30.18,43,4,0.08
BAYONNE,999,44,999,0
OPORTO,999,999,999,999
LISBON,999,999,999,999
