1862,11,18,Tuesday,DWR_1862_11-15.jpg
NAIRN,30.28,43,2,0
ABERDEEN,30.34,35,1,0
LEITH,30.4,40,2,0
BERWICK,30.43,36,2,0
ARDROSSAN,30.38,41,1,0
PORTRUSH,30.48,39,2,0
GALWAY,30.4,42,1,0
VALENTIA,30.4,47,2,0
QUEENSTOWN,30.42,39,1,0
HOLYHEAD,30.44,36,2,0
LIVERPOOL,30.46,34,2,0
PEMBROKE,30.47,35,1,0
PENZANCE,30.42,38,1,0
PLYMOUTH,30.4,37,2,0
JERSEY,30.32,44,2,0
WEYMOUTH,30.37,36,2,0
PORTSMOUTH,30.35,39,3,0
DOVER,30.33,46,3,1.75
LONDON,30.38,40,2,0
YARMOUTH,30.4,44,2,0
SCARBOROUGH,30.44,36,1,0
SHIELDS,30.44,32,2,0
HELIGOLAND,30.43,39,1,0
HELDER,30.4,42,999,0
COPENHAGEN,30.43,37,999,0
BREST,30.29,43,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,45,999,0
LISBON,999,999,999,0
