1862,11,5,Wednesday,DWR_1862_11-4.jpg
NAIRN,30.12,33,1,0.15
ABERDEEN,30.15,35,2,0
LEITH,30.12,41,2,0
BERWICK,30.2,41,6,0
ARDROSSAN,30.09,43,2,0
PORTRUSH,30.11,45,999,0
GALWAY,30.04,41,1,0.54
VALENTIA,30.1,46,1,0.24
QUEENSTOWN,30.1,45,3,0
HOLYHEAD,30.09,45,3,0
LIVERPOOL,30.16,37,1,0.06
PEMBROKE,30.15,40,2,0.25
PENZANCE,30.17,39,1,0
PLYMOUTH,30.15,45,2,0
JERSEY,30.12,52,1,0.23
WEYMOUTH,30.13,47,1,0.19
PORTSMOUTH,30.08,50,1,0.29
DOVER,30.13,999,999,0
LONDON,30.1,49,1,0.47
YARMOUTH,30.1,51,1,0
SCARBOROUGH,30.13,45,2,0.15
SHIELDS,30.15,37,3,0
HELIGOLAND,30.13,47,5,0
HELDER,30.13,50,999,0
COPENHAGEN,30.18,45,999,0
BREST,30.11,50,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,54,999,0
LISBON,30.06,50,999,0
