1862,11,19,Wednesday,DWR_1862_11-16.jpg
NAIRN,30.42,33,2,0
ABERDEEN,30.46,32,1,0
LEITH,30.44,39,2,0
BERWICK,30.45,34,2,0
ARDROSSAN,30.41,35,1,0
PORTRUSH,30.53,34,1,0
GALWAY,30.39,34,1,0
VALENTIA,30.36,37,1,0
QUEENSTOWN,30.36,39,1,0
HOLYHEAD,30.35,40,1,0
LIVERPOOL,30.37,35,2,0
PEMBROKE,30.34,40,2,0
PENZANCE,30.26,43,2,0
PLYMOUTH,30.23,41,2,0
JERSEY,30.16,45,3,0.11
WEYMOUTH,30.22,41,2,0
PORTSMOUTH,30.16,43,3,0
DOVER,30.16,40,3,0
LONDON,30.22,42,2,0.01
YARMOUTH,30.24,42,3,0
SCARBOROUGH,30.35,44,2,0
SHIELDS,30.39,37,2,0
HELIGOLAND,30.45,34,2,0
HELDER,30.27,30,999,0
COPENHAGEN,30.44,39,999,0
BREST,30.15,40,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,41,999,0
LISBON,999,999,999,999
