1862,10,7,Tuesday,DWR_1862_10-5.jpg
NAIRN,30.1,45,43,0
ABERDEEN,30.09,47,44,0.4
LEITH,30.13,49,45,0
BERWICK,30.11,52,48,0.27
ARDROSSAN,30.15,51,49,0.4
PORTRUSH,30.16,57,55,0
GALWAY,30.26,51,50,0
VALENTIA,30.32,56,52,0
QUEENSTOWN,30.25,56,54,0
HOLYHEAD,30.16,53,48,0.2
LIVERPOOL,30.13,53,48,0.16
PEMBROKE,30.29,52,48,0
PENZANCE,30.24,53,51,0
PLYMOUTH,30.19,52,44,0
JERSEY,30.12,55,51,0
WEYMOUTH,30.13,53,49,0.06
PORTSMOUTH,30.05,53,50,0
DOVER,29.9,54,51,0
LONDON,30.03,54,51,0.11
YARMOUTH,29.93,54,52,0.5
SCARBOROUGH,30.02,52,50,0.54
SHIELDS,30.08,49,45,0
HELIGOLAND,29.95,999,999,0
HELDER,29.92,54,999,0
COPENHAGEN,999,999,999,999
BREST,30.18,53,999,0
BAYONNE,999,999,999,999
LISBON,30.04,69,999,0
