1862,10,30,Thursday,DWR_1862_10-25.jpg
NAIRN,29.79,41,3,0
ABERDEEN,29.89,40,2,0
LEITH,29.89,43,3,0
BERWICK,29.95,39,3,0
ARDROSSAN,29.8,45,3,0
PORTRUSH,999,999,999,999
GALWAY,29.72,44,2,0.2
VALENTIA,29.66,49,4,0
QUEENSTOWN,29.77,49,0,0
HOLYHEAD,29.88,42,2,0
LIVERPOOL,999,999,999,999
PEMBROKE,29.92,44,2,0
PENZANCE,29.89,44,3,0
PLYMOUTH,29.9,41,1,0
JERSEY,29.88,50,2,0
WEYMOUTH,29.9,41,2,0
PORTSMOUTH,29.9,44,4,0
DOVER,29.93,999,999,0
LONDON,29.95,40,1,0
YARMOUTH,29.97,46,2,0
SCARBOROUGH,29.98,40,1,0
SHIELDS,29.97,45,0,0
HELIGOLAND,29.99,47,1,0
HELDER,29.99,49,999,0
COPENHAGEN,29.89,42,999,0
BREST,29.84,46,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,52,999,0
LISBON,999,999,999,999
