1862,11,6,Thursday,DWR_1862_11-5.jpg
NAIRN,29.96,37,1,0.7
ABERDEEN,30,37,2,0.15
LEITH,30.03,40,2,0
BERWICK,30.11,40,3,0
ARDROSSAN,30.01,38,2,0
PORTRUSH,30.07,43,2,0
GALWAY,30.05,40,1,0.08
VALENTIA,30.08,43,1,0.11
QUEENSTOWN,30.07,40,2,0
HOLYHEAD,30.05,43,2,0.25
LIVERPOOL,30.1,39,1,0
PEMBROKE,30.1,39,1,0.2
PENZANCE,30.13,40,1,0
PLYMOUTH,30.12,40,1,0
JERSEY,30.11,49,2,0.11
WEYMOUTH,30.13,42,2,0.08
PORTSMOUTH,30.11,44,2,0.23
DOVER,30.12,999,999,0
LONDON,30.15,41,1,0.22
YARMOUTH,30.16,46,1,0
SCARBOROUGH,30.11,38,1,0.21
SHIELDS,30.05,44,1,0
HELIGOLAND,30.15,50,0,0
HELDER,30.14,47,999,0
COPENHAGEN,30.24,45,999,0
BREST,30.06,49,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,50,999,0
LISBON,29.85,55,999,0
