1862,11,7,Friday,DWR_1862_11-6.jpg
NAIRN,30.16,32,1,0
ABERDEEN,30.21,38,4,0
LEITH,30.24,40,2,0
BERWICK,30.31,36,0,0
ARDROSSAN,30.23,42,0,0
PORTRUSH,30.29,42,3,0
GALWAY,30.29,42,1,0
VALENTIA,30.36,43,1,0
QUEENSTOWN,30.26,42,0,0
HOLYHEAD,30.27,40,1,0
LIVERPOOL,30.3,39,1,0
PEMBROKE,30.3,39,2,0
PENZANCE,30.31,44,3,0
PLYMOUTH,30.28,43,3,0.11
JERSEY,30.22,50,2,0
WEYMOUTH,30.28,42,2,0
PORTSMOUTH,30.22,44,2,0.28
DOVER,30.2,47,1,0
LONDON,30.24,43,1,0.13
YARMOUTH,30.21,44,2,0
SCARBOROUGH,30.25,34,1,0
SHIELDS,30.27,36,2,0
HELIGOLAND,30.15,48,0,0
HELDER,30.11,51,999,0
COPENHAGEN,30.17,41,999,0
BREST,30.18,47,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,49,999,0
LISBON,30,59,999,0
