1862,10,31,Friday,DWR_1862_10-26.jpg
NAIRN,29.72,44,2,0
ABERDEEN,29.8,48,1,0
LEITH,29.73,49,3,0
BERWICK,29.78,48,1,0
ARDROSSAN,29.65,46,2,0
PORTRUSH,999,46,3,0
GALWAY,29.5,48,0,0.45
VALENTIA,29.54,48,1,0.51
QUEENSTOWN,29.49,52,2,0.41
HOLYHEAD,29.61,46,1,0
LIVERPOOL,29.72,47,2,0
PEMBROKE,29.62,52,1,0.2
PENZANCE,29.6,54,3,0
PLYMOUTH,29.62,51,1,0
JERSEY,29.67,53,2,0
WEYMOUTH,29.66,54,2,0.13
PORTSMOUTH,29.67,52,1,0.13
DOVER,29.73,54,1,0.25
LONDON,29.72,50,1,0.06
YARMOUTH,29.77,51,1,0
SCARBOROUGH,29.79,50,1,0
SHIELDS,29.77,49,2,0
HELIGOLAND,29.94,49,0,0
HELDER,29.84,48,999,0
COPENHAGEN,30.1,46,999,0
BREST,29.59,54,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,55,999,0
LISBON,29.57,55,999,0
