1862,10,9,Thursday,DWR_1862_10-7.jpg
NAIRN,30.34,45,44,0
ABERDEEN,30.36,46,44,0
LEITH,30.38,48,47,0
BERWICK,30.42,51,47,0
ARDROSSAN,30.37,53,50,0
PORTRUSH,30.31,56,54,0
GALWAY,30.33,?52,47,0
VALENTIA,30.27,57,53,0
QUEENSTOWN,30.27,53,52,0
HOLYHEAD,30.32,51,49,0
LIVERPOOL,30.39,50,47,0
PEMBROKE,30.28,54,51,0
PENZANCE,30.22,57,56,0
PLYMOUTH,30.23,58,56,0
JERSEY,30.2,57,54,0
WEYMOUTH,30.26,56,54,0
PORTSMOUTH,30.25,55,53,0
DOVER,30.3,999,999,0
LONDON,30.33,57,55,0
YARMOUTH,30.44,58,53,0
SCARBOROUGH,30.44,51,49,0
SHIELDS,30.42,46,44,0
HELIGOLAND,30.38,57,56,0
HELDER,30.4,57,999,0
COPENHAGEN,30.28,54,999,0
BREST,999,999,999,0
BAYONNE,999,61,999,0
LISBON,30.06,66,999,0
