1862,10,8,Wednesday,DWR_1862_10-6.jpg
NAIRN,30.26,54,50,0
ABERDEEN,30.28,47,45,0
LEITH,30.31,54,52,0
BERWICK,30.36,51,47,0
ARDROSSAN,30.35,55,53,0
PORTRUSH,30.31,58,55,0
GALWAY,30.38,55,53,0
VALENTIA,30.37,57,54,0
QUEENSTOWN,30.36,55,54,0
HOLYHEAD,30.37,52,50,0
LIVERPOOL,30.41,49,47,0
PEMBROKE,30.36,55,45,0
PENZANCE,30.31,52,51,0
PLYMOUTH,30.31,56,52,0
JERSEY,30.24,58,56,0
WEYMOUTH,30.3,54,52,0
PORTSMOUTH,30.26,56,54,0
DOVER,30.26,999,999,0
LONDON,30.32,54,52,0.17
YARMOUTH,30.32,57,54,0
SCARBOROUGH,30.38,50,48,0
SHIELDS,30.37,44,42,0
HELIGOLAND,30.25,58,55,0
HELDER,30.3,58,999,0
COPENHAGEN,30.12,52,999,0
BREST,30.17,52,999,0
BAYONNE,999,58,999,0
LISBON,999,999,999,999
