1862,12,12,Friday,DWR_1862_12-11.jpg
NAIRN,29.95,35,1,0.14
ABERDEEN,29.99,35,1,0
LEITH,30.06,40,2,0
BERWICK,30.04,42,3,0
ARDROSSAN,30.08,41,1,0.26
PORTRUSH,999,999,999,999
GALWAY,30.24,41,3,0.13
VALENTIA,30.27,42,2,999
QUEENSTOWN,30.35,41,0,0
HOLYHEAD,30.2,44,2,0
LIVERPOOL,30.2,43,2,0.19
PEMBROKE,30.31,44,1,0.26
PENZANCE,30.41,42,1,0
PLYMOUTH,30.34,39,2,0.33
JERSEY,30.36,43,4,0.58
WEYMOUTH,30.31,40,2,0.15
PORTSMOUTH,30.25,40,2,0.17
DOVER,30.14,38,1,999
LONDON,30.19,39,2,0.13
YARMOUTH,30.1,38,2,0
SCARBOROUGH,30.06,39,2,0
SHIELDS,30.06,38,2,0
HELIGOLAND,29.75,42,0,0.4
HELDER,29.92,43,999,0
COPENHAGEN,29.7,31,999,0
BREST,30.39,42,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,51,999,0
LISBON,999,999,999,999
