1862,11,12,Wednesday,DWR_1862_11-10.jpg
NAIRN,29.89,35,5,0
ABERDEEN,29.92,34,0,0
LEITH,29.95,38,2,0
BERWICK,29.93,39,4,0
ARDROSSAN,29.94,37,2,0
PORTRUSH,30.03,39,6,0
GALWAY,30.05,35,1,0
VALENTIA,30.09,41,1,0.09
QUEENSTOWN,30.07,41,1,0
HOLYHEAD,29.96,45,3,0
LIVERPOOL,29.98,41,2,0.53
PEMBROKE,30.01,39,0,0
PENZANCE,30.04,42,1,0.25
PLYMOUTH,30.02,37,2,0.14
JERSEY,29.99,45,3,0.35
WEYMOUTH,30,37,1,0
PORTSMOUTH,29.93,37,2,0
DOVER,29.89,38,1,0
LONDON,29.92,35,2,0
YARMOUTH,29.89,35,1,0
SCARBOROUGH,29.91,36,2,0
SHIELDS,29.93,33,2,0
HELIGOLAND,29.69,47,1,0.26
HELDER,29.78,47,999,0
COPENHAGEN,29.82,46,999,0
BREST,30.02,40,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,42,999,0
LISBON,999,999,999,999
