1862,11,20,Thursday,DWR_1862_11-17.jpg
NAIRN,30.43,33,1,0
ABERDEEN,30.43,36,1,0
LEITH,30.4,45,2,0
BERWICK,30.41,42,3,0
ARDROSSAN,30.35,40,1,0
PORTRUSH,999,39,4,0
GALWAY,30.3,34,0,0
VALENTIA,30.25,42,3,0
QUEENSTOWN,30.2,43,2,0
HOLYHEAD,30.23,45,3,0
LIVERPOOL,30.34,38,2,0
PEMBROKE,30.24,36,1,0
PENZANCE,30.16,39,1,0
PLYMOUTH,30.15,40,3,0
JERSEY,30.1,39,2,0
PORTSMOUTH,30.15,37,2,0.07
DOVER,30.19,39,2,0
LONDON,30.21,38,2,0
YARMOUTH,30.28,42,2,0
WEYMOUTH,30.17,37,4,0
SCARBOROUGH,30.35,44,4,0
SHIELDS,30.37,42,3,0
HELIGOLAND,30.29,38,2,0
HELDER,30.29,38,999,0
COPENHAGEN,30.19,32,999,0
BREST,30.02,40,999,0
LORIENT,999,999,999,999
ROCHEFORT,999,999,999,999
BAYONNE,999,46,999,0
LISBON,30.12,51,999,0
